Tipo,TempoPreparo,ItensPedido
Expresso,15,"Hambúrguer, Batata Frita, Refrigerante"
Regular,20,"Pizza de Calabresa, Salada"
Pre-Agendado,30,"Lasanha, Suco de Laranja"
Expresso,12,"Sushi, Temaki"
Regular,18,"Frango Grelhado, Arroz, Feijão"
Pre-Agendado,25,"Feijoada, Couve, Laranja"
Expresso,10,"Sanduíche, Salada de Frutas"
Regular,22,"Massa ao Sugo, Carne Moída"
Pre-Agendado,40,"Bolo de Chocolate, Café"
Expresso,15,"Wrap de Frango, Smoothie"
Regular,25,"Escondidinho de Carne Seca, Salada"
Pre-Agendado,35,"Torta de Frango, Guaraná"
Expresso,18,"Yakisoba, Refrigerante"
Regular,28,"Risoto de Frutos do Mar, Vinho Branco"
Pre-Agendado,45,"Pudim de Leite Condensado, Chá"
